step,time,action,vETH,vNFT,fees,userid,oracle_price
41599720,1669547334,swap,0.3365205,0.0,0.003,0x51845fad9e2afbc9f6f07cfd60fdba45df1e3c2d,63.98137810183117
41606055,0,set_liquidity,9434.718658,147.7232154,0.0,admin,63.98137810183117
41619439,1669553047,swap,2.5,0.0,0.003,0xc7d155feaa493d3a5037299bdf15624126931a77,63.98137810183117
41621751,1669553689,swap,0.025,0.0,0.003,0x524b7c9b4ca33ba72445dfd2d6404c81d8d1f2e3,63.98137810183117
41621769,1669553694,swap,0.3,0.0,0.003,0xca9ba74ee20917211ef646ac51accc287f27538b,63.98137810183117
41628414,1669555628,swap,0.4,0.0,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41628496,1669555652,swap,0.0,0.003129407682524,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41628711,1669555721,swap,0.0,0.0031295403190572,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41628711,1669555721,swap,0.0,0.0031295403190572,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41628827,1669555760,swap,0.75,0.0,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41628941,1669555797,swap,0.0,0.0031291755888798,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41629257,1669555888,swap,0.0,0.0031293082106576,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41629343,1669555917,swap,0.0,0.0031294408408668,0.003,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41629449,1669555950,swap,0.0,0.0023471676742973,0.002999999999999994,0x7a4c6e32c31a56bdd78de86970180d8a0d613f57,63.98137810183117
41637568,1669558228,swap,0.008,0.0,0.003,0xab769309ebceeda984e666ab727b36211ba02a8a,63.98137810183117
41638275,1669558425,swap,0.0,0.0001251841594895,0.003,0xab769309ebceeda984e666ab727b36211ba02a8a,63.98137810183117
41640407,1669558987,swap,0.4,0.0,0.003,0x22b908c2fea7a1e6043ffcdbc77d660d4d326961,63.98137810183117
41645052,1669560228,swap,0.040228,0.0,0.003,0xba85e7b5fc623014ccd394bbca960b1d8455faee,63.98137810183117
41645482,1669560345,swap,3.9525692,0.0,0.003,0x94a0321182f95b4b54537a6dd78df5750df3513c,63.98137810183117
41656623,1669563423,swap,1.0,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41656896,1669563493,swap,2.7667984,0.0,0.003,0x30c0994b0b454ff3ba1606bce6e67d54701b24d7,63.98137810183117
41658569,1669563953,swap,0.0,0.0008090868400033,0.003,0x013cc394844aa993d73ca9a08d89dd6d046f3bcc,63.98137810183117
41659697,1669564261,swap,0.01,0.0,0.003,0x31b660096f4b407ee416bd0b96697d82b612f61b,63.98137810183117
41667546,1669566442,swap,0.0,0.0004232273268613,0.003,0xe22647c7596c3459154039cfa37cf539c5ca57ef,63.98137810183117
41668051,1669566575,swap,0.0048075,0.0,0.003,0xbcc1a940be90087d2dcd91696421469e1e4e73a3,63.98137810183117
41668694,1669566760,swap,0.6976749642534849,0.0,0.0029999999999999988,0x026fbb7b3ccc7d668767f9b6f65d2346d8549f6e,63.98137810183117
41669607,1669567008,swap,2.5,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41669771,1669567055,swap,0.0,3.1221307992171e-05,0.003,0x20b3fb70cfeb01ac7ea11a412572848139a2b748,63.98137810183117
